memberId,dodsId,pimsId,name,nameListed,nameInFull,gender,dateOfBirth,dateOfDeath,house,houseStartDate,houseEndDate,partyId,party,from,layingMinisterName,state,stateIsActive,stateReason,stateStartDate
3257,26545,,Lord Pym,"Pym, L.",The Rt Hon. the Lord Pym MC DL,M,1922-02-13T00:00:00,2008-03-07T00:00:00,Lords,1987-10-09T00:00:00,2008-03-07T00:00:00,21,Other,Life peer,,,false,,
3256,,,The Marquess of Queensberry,"Queensberry, M.",The Most Hon. the Marquess of Queensberry,M,1929-12-19T00:00:00,,Lords,1954-04-27T00:00:00,1999-11-11T00:00:00,21,Other,Hereditary,,,false,,
518,25339,5076,Baroness Quin,"Quin, B.",The Rt Hon. the Baroness Quin,F,1944-11-26T00:00:00,,Lords,2006-05-30T00:00:00,,15,Labour,Life peer,,Current Member,true,,2006-05-30T00:00:00
4507,138505,6141,Jeremy Quin,"Quin, Jeremy",Jeremy Quin MP,M,1968-09-24T00:00:00,,Commons,2015-05-07T00:00:00,,4,Conservative,Horsham,,Current Member,true,,2015-05-07T00:00:00
4423,77098,6142,Will Quince,"Quince, Will",Will Quince MP,M,1982-12-27T00:00:00,,Commons,2015-05-07T00:00:00,,4,Conservative,Colchester,,Current Member,true,,2015-05-07T00:00:00
381,,273,Lawrie Quinn,"Quinn, Lawrie",Lawrie Quinn,M,1956-12-25T00:00:00,,Commons,1997-05-01T00:00:00,2005-05-05T00:00:00,15,Labour,Scarborough & Whitby,,,false,,
3255,26546,274,Lord Quinton,"Quinton, L.",The Lord Quinton FBA,M,1925-03-25T00:00:00,2010-06-19T00:00:00,Lords,1983-02-07T00:00:00,2010-06-19T00:00:00,4,Conservative,Life peer,,,false,,
3254,26563,275,Lord Quirk,"Quirk, L.",The Lord Quirk CBE FBA,M,1920-07-12T00:00:00,,Lords,1994-07-12T00:00:00,,6,Crossbench,Life peer,,Current Member,true,,1994-07-12T00:00:00
3924,35869,5523,Yasmin Qureshi,"Qureshi, Yasmin",Yasmin Qureshi MP,F,1963-07-05T00:00:00,,Commons,2010-05-06T00:00:00,,15,Labour,Bolton South East,,Current Member,true,,2015-05-07T00:00:00
4007,83496,5626,Dominic Raab,"Raab, Dominic",Dominic Raab MP,M,1974-02-25T00:00:00,,Commons,2010-05-06T00:00:00,,4,Conservative,Esher and Walton,Dominic Raab,Current Member,true,,2015-05-07T00:00:00
1193,,,Dr Reg Race,"Race, Dr Reg",Dr Reg Race,M,1947-06-23T00:00:00,,Commons,1979-05-03T00:00:00,1983-06-09T00:00:00,15,Labour,Wood Green,,,false,,
510,26564,283,Lord Radice,"Radice, L.",The Rt Hon. the Lord Radice,M,1936-10-04T00:00:00,,Lords,2001-07-16T00:00:00,,15,Labour,Life peer,,Current Member,true,,2001-07-16T00:00:00
3253,,,The Earl of Radnor,"Radnor, E.",The Rt Hon. the Earl of Radnor,M,1927-11-10T00:00:00,2008-08-11T00:00:00,Lords,1968-11-23T00:00:00,1999-11-11T00:00:00,4,Conservative,Hereditary,,,false,,
1280,,,Keith Raffan,"Raffan, Keith",Keith Raffan,M,1949-06-21T00:00:00,,Commons,1983-06-09T00:00:00,1992-04-09T00:00:00,4,Conservative,Delyn,,,false,,
3252,,,Lord Raglan,"Raglan, L.",The Lord Raglan DL JP,M,1927-11-08T00:00:00,2010-01-24T00:00:00,Lords,1964-09-14T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
935,,,Sir Timothy Raison,"Raison, Sir Timothy",Rt Hon Sir Timothy Raison,M,1929-11-03T00:00:00,2011-11-03T00:00:00,Commons,1970-06-18T00:00:00,1992-04-09T00:00:00,4,Conservative,Aylesbury,,,false,,
37,25336,294,Bill Rammell,"Rammell, Bill",Bill Rammell,M,1959-10-10T00:00:00,,Commons,1997-05-01T00:00:00,2010-05-06T00:00:00,15,Labour,Harlow,,,false,,
3276,26565,296,Baroness Ramsay of Cartvale,"Ramsay of Cartvale, B.",The Baroness Ramsay of Cartvale,F,1936-07-12T00:00:00,,Lords,1996-10-11T00:00:00,,15,Labour,Life peer,,Current Member,true,,1996-10-11T00:00:00
3744,22007,4853,Lord Ramsbotham,"Ramsbotham, L.",The Lord Ramsbotham GCB CBE,M,1934-11-06T00:00:00,,Lords,2005-05-17T00:00:00,,6,Crossbench,Life peer,,Current Member,true,,2005-05-17T00:00:00
1684,,,James  Ramsden,"Ramsden, James",Rt Hon James  Ramsden,M,1923-11-01T00:00:00,,Commons,1954-03-11T00:00:00,1974-02-28T00:00:00,4,Conservative,Harrogate,,,false,,
2387,,,Lord Ramsey of Canterbury,"Ramsey of Canterbury, L.",The Lord Ramsey of Canterbury,M,1904-11-14T00:00:00,1988-04-23T00:00:00,Lords,1974-11-18T00:00:00,1988-04-23T00:00:00,21,Other,Life peer,,,false,,
3689,32289,299,Lord Rana,"Rana, L.",The Lord Rana MBE,M,1938-09-20T00:00:00,,Lords,2004-06-16T00:00:00,,6,Crossbench,Life peer,,Current Member,true,,2004-06-16T00:00:00
209,25199,301,Sir John Randall,"Randall, Sir John",Rt Hon Sir John Randall,M,1955-08-05T00:00:00,,Commons,1997-07-31T00:00:00,2015-03-30T00:00:00,4,Conservative,Uxbridge and South Ruislip,,,false,,
1152,26566,300,Lord Randall of St Budeaux,"Randall of St Budeaux, L.",The Lord Randall of St Budeaux,M,1938-06-22T00:00:00,2012-08-11T00:00:00,Lords,1997-09-25T00:00:00,2012-08-11T00:00:00,21,Other,Life peer,,,false,,
4230,33499,5929,Baroness Randerson,"Randerson, B.",The Baroness Randerson,F,1948-05-26T00:00:00,,Lords,2011-01-27T00:00:00,,17,Liberal Democrat,Life peer,,Current Member,true,,2011-01-27T00:00:00
2388,,,Earl of Ranfurly,"Ranfurly, E.",The Rt Hon. the Earl of Ranfurly,M,1913-05-29T00:00:00,1988-11-06T00:00:00,Lords,1933-10-01T00:00:00,1988-11-06T00:00:00,4,Conservative,Hereditary,,,false,,
3260,,,The Earl of Ranfurly,"Ranfurly, E.",The Rt Hon. the Earl of Ranfurly,M,1929-01-04T00:00:00,,Lords,1988-11-06T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
3283,,,Lord Rankeillour,"Rankeillour, L.",The Lord Rankeillour,M,1935-05-29T00:00:00,2005-04-12T00:00:00,Lords,1967-12-02T00:00:00,1999-11-11T00:00:00,4,Conservative,Hereditary,,,false,,
58,,308,Syd Rapson,"Rapson, Syd",Syd Rapson,M,1942-04-17T00:00:00,,Commons,1997-05-01T00:00:00,2005-05-05T00:00:00,15,Labour,Portsmouth North,,,false,,
1247,,,Tim Rathbone,"Rathbone, Tim",Tim Rathbone,M,1933-03-17T00:00:00,2002-07-12T00:00:00,Commons,1974-02-28T00:00:00,1997-05-01T00:00:00,4,Conservative,Lewes,,,false,,
2952,,,Lord Rathcavan,"Rathcavan, L.",The Rt Hon. Lord Rathcavan,M,1909-11-02T00:00:00,1994-12-20T00:00:00,Lords,1982-11-28T00:00:00,1994-12-20T00:00:00,21,Other,Hereditary,,,false,,
3282,,,Lord Rathcavan,"Rathcavan, L.",The Lord Rathcavan,M,1939-06-14T00:00:00,,Lords,1994-12-30T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
2293,,,Lord Rathcreedan,"Rathcreedan, L.",The Lord Rathcreedan,M,1905-11-26T00:00:00,1990-05-15T00:00:00,Lords,1930-12-07T00:00:00,1990-05-15T00:00:00,17,Liberal Democrat,Hereditary,,,false,,
3281,,,Lord Rathcreedan,"Rathcreedan, L.",The Lord Rathcreedan,M,1949-06-03T00:00:00,,Lords,1990-05-15T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
